event_id,title,date,location,target
6001,학교폭력 예방 캠페인,2025-08-18,강당,5학년
6002,중간고사,2025-07-31,체육관,교사
6003,중간고사,2025-08-22,체육관,학부모
6004,중간고사,2025-08-06,강당,전체 학생
6005,학교폭력 예방 캠페인,2025-07-29,체육관,교사
6006,중간고사,2025-08-19,체육관,교사
6007,학부모 상담 주간,2025-08-23,체육관,교사
6008,교직원 회의,2025-08-21,운동장,학부모
6009,학교폭력 예방 캠페인,2025-08-04,강당,교사
6010,학부모 상담 주간,2025-08-13,운동장,전체 학생
6011,학부모 상담 주간,2025-08-17,교실,교사
6012,운동회,2025-08-18,체육관,5학년
6013,학교폭력 예방 캠페인,2025-08-09,회의실,5학년
6014,운동회,2025-08-13,체육관,학부모
6015,중간고사,2025-08-19,체육관,교사
6016,운동회,2025-08-08,회의실,전체 학생
6017,과학탐구 발표회,2025-08-21,운동장,학부모
6018,과학탐구 발표회,2025-08-20,교실,5학년
6019,교직원 회의,2025-08-14,강당,학부모
6020,학부모 상담 주간,2025-08-13,강당,전체 학생
6021,운동회,2025-08-05,교실,학부모
6022,학부모 상담 주간,2025-08-14,운동장,학부모
6023,학교폭력 예방 캠페인,2025-07-27,회의실,전체 학생
6024,학교폭력 예방 캠페인,2025-08-16,운동장,교사
6025,학교폭력 예방 캠페인,2025-08-19,체육관,전체 학생
6026,중간고사,2025-08-06,체육관,학부모
6027,중간고사,2025-08-11,회의실,전체 학생
6028,과학탐구 발표회,2025-08-04,체육관,교사
6029,학교폭력 예방 캠페인,2025-08-04,강당,전체 학생
6030,중간고사,2025-08-03,체육관,5학년
